RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA_1,pmDE_1,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA_icrs,_DE_icrs,RAhour,DEdeg,Bmag,Vmag,Jmag,Hmag,Ksmag,e_Jmag,e_Hmag,e_Ksmag,pmRA_2,pmDE_2,e_pm,RV,e_RV,Qflg,Rflg,Bflg,2MASS,ASCC,SpType,Rcl,Ps,Pkin,PJKs,PJH,MWSC,Separation
0.22267115731,-30.46475886672,2314824374241137408,13.1769924242,-78.4420626265,4.2854,19.038000000000004,2.3310000000000004,220,15.577652,2.148369,1.0,Blanco_1,0.222576058969335,-30.4647689029355,0.01483774,-30.464775,17.0,15.3,13.109,12.438,12.272,0.03,0.03,0.03,18.59,0.72,3.9,999.99,-9.99,AAA,222,111,1005236711,0,,0.7373,1,94.12,100.0,100.0,7,0.3311852818599679
0.32224759321,-30.4269582337,2314778950667015296,13.259695654,-78.5343987309,4.0974,19.091,2.5500000000000003,209,17.31203,2.82865,1.0,Blanco_1,0.32215226709638,-30.426969212832,0.02147474,-30.42697,18.9,17.1,14.362,13.737,13.501,0.03,0.039,0.043,24.53,1.71,4.09,999.99,-9.99,AAA,222,111,145551925,0,,0.6472,1,70.32,66.66,89.97,7,0.39480895581487624
0.36031269989,-30.43025105898,2314778538350155904,13.2045521217,-78.5655162373,4.2243,18.591,2.95,192,17.184526,2.793882,0.9,Blanco_1,0.360219867265517,-30.430263760336,0.02401367,-30.430285,18.8,17.1,14.27,13.666,13.425,0.032,0.041,0.039,17.46,0.4,4.09,999.99,-9.99,AAA,222,111,145551917,0,,0.6251,1,87.94,83.95,100.0,7,0.3551671193063279
0.44583379597,-29.5440143747,2332902029029022464,17.5570577329,-78.8161044483,4.104,18.148000000000003,3.2470000000000003,270,17.608797,2.819735,1.0,Blanco_1,0.445743980700717,-29.5440283548087,0.02971413,-29.54401,19.3,17.3,14.609,14.044,13.88,0.035,0.054,0.059,24.5,7.33,4.85,999.99,-9.99,AAA,222,111,108798490,0,,0.5944,1,59.76,66.56,100.0,7,0.3819423962499612
0.46556153374,-29.52790985469,2332902162172429824,17.6245162687,-78.8356763811,4.1453,18.148000000000003,2.306,248,17.926138,3.04179,1.0,Blanco_1,0.46547173277704,-29.5279197832709,0.03102859,-29.527864,20.1,17.4,14.828,14.27,14.053,0.046,0.064,0.064,24.84,3.86,4.09,999.99,-9.99,AAA,222,111,108798471,0,,0.5963,1,65.01,97.68,100.0,7,0.44666066647511793
0.86499499966,-28.96081864907,2333019328880804096,20.3183041139,-79.2614792764,4.3438,18.990000000000002,1.5620000000000003,228,15.229359,2.171245,0.9,Blanco_1,0.864901551567598,-28.9608253743155,0.05765926,-28.960829,16.8,14.7,12.753,12.11,11.918,0.03,0.03,0.03,19.96,-2.86,4.0,999.99,-9.99,AAA,222,111,108819094,0,,1.0393,1,66.11,100.0,41.02,7,0.33615956714889417
-0.2259922381,-29.11022325594,2332964632472270592,20.1348567384,-78.2966415327,4.2018,18.937,2.3230000000000004,243,16.111868,2.348758,1.0,Blanco_1,359.773914439624,-29.1102332577133,-0.01507265,-29.110212,17.7,16.0,13.477,12.85,12.659,0.03,0.03,0.03,20.39,-1.08,4.09,999.99,-9.99,AAA,222,111,142159274,0,,1.3137,1,83.89,100.0,100.0,7,0.30924800190556684
-0.12811499451,-29.19392953526,2332951438332812160,19.6733730775,-78.3715147965,4.2104,18.96,2.2780000000000005,234,14.989018,1.829638,1.0,Blanco_1,359.871791493698,-29.1939393432831,-0.00854993,-29.193945,16.3,14.9,12.843,12.167,12.01,0.03,0.03,0.03,16.54,-3.67,4.09,999.99,-9.99,AAA,222,111,142175122,0,,1.1941,1,50.7,100.0,95.81,7,0.42459949124902147
0.3084112767,-29.42170575387,2332907487931865728,18.2739417799,-78.7172723815,4.1596,18.589000000000002,2.7150000000000003,276,12.224947,0.929499,1.0,Blanco_1,0.308319389869727,-29.4217174434218,0.020551,-29.421741,12.4,11.8,11.06,10.692,10.647,0.03,0.03,0.03,11.89,1.3,3.9,999.99,-9.99,AAA,222,111,1124171955,0,,0.765,1,36.03,100.0,99.55,7,0.47637402908106663
0.37236446728,-29.61547132066,2332899933084984960,17.2497308038,-78.7411921205,4.2412,18.272000000000002,2.1430000000000002,262,15.506313,2.048083,1.0,Blanco_1,0.372273974295873,-29.6154805474349,0.024818,-29.615488,17.3,15.2,13.189,12.452,12.281,0.03,0.03,0.03,21.51,-0.4,3.9,999.99,-9.99,AAA,222,111,1124171687,0,,0.588,1,84.26,26.68,88.26,7,0.3017643977605176
